dataset,record_id,label,group,blue_max,blue_mean,blue_min,blue_p10,blue_p90,blue_std,bsi_max,bsi_mean,bsi_min,bsi_p10,bsi_p90,bsi_std,canopy_fraction_ndvi_035,canopy_fraction_ndvi_05,green_max,green_mean,green_min,green_p10,green_p90,green_std,mask_pixel_count,ndmi_max,ndmi_mean,ndmi_min,ndmi_p10,ndmi_p90,ndmi_std,ndvi_glcm_contrast,ndvi_glcm_correlation,ndvi_glcm_dissimilarity,ndvi_glcm_energy,ndvi_glcm_homogeneity,ndvi_max,ndvi_mean,ndvi_min,ndvi_p10,ndvi_p90,ndvi_std,ndwi_max,ndwi_mean,ndwi_min,ndwi_p10,ndwi_p90,ndwi_std,nir_glcm_contrast,nir_glcm_correlation,nir_glcm_dissimilarity,nir_glcm_energy,nir_glcm_homogeneity,nir_max,nir_mean,nir_min,nir_p10,nir_p90,nir_std,parcel_area_ha,red_max,red_mean,red_min,red_p10,red_p90,red_std,swir1_max,swir1_mean,swir1_min,swir1_p10,swir1_p90,swir1_std
train,parcel_1777662049508_exj14,intensif,Zaghouan__lat182_lng50,0.14259999990463257,0.06869536638259888,0.04320000112056732,0.05810000002384186,0.08320000022649765,0.011429136618971825,0.2627919912338257,0.08935515582561493,-0.03169069066643715,0.055524323135614395,0.13694392144680023,0.0348518043756485,0.8534377813339233,0.014993920922279358,0.17880000174045563,0.1009950190782547,0.0754999965429306,0.08810000121593475,0.11810000240802765,0.013133958913385868,7403.0,0.1084427684545517,-0.03126833587884903,-0.2443247139453888,-0.08743417263031006,0.009293652139604092,0.04210459440946579,105.99058532714844,0.5659945011138916,4.241511344909668,0.5651700496673584,0.640809953212738,0.5666931867599487,0.41362249851226807,0.1440291404724121,0.3276148736476898,0.4745892286300659,0.06606046855449677,-0.20700781047344208,-0.4864431619644165,-0.5940361022949219,-0.5413187742233276,-0.4133757948875427,0.05812855809926987,6.973245620727539,0.5534269213676453,1.1335272789001465,0.5871127843856812,0.7356301546096802,0.32600000500679016,0.29205846786499023,0.1964000016450882,0.2685999870300293,0.3077999949455261,0.016373103484511375,74.01180267333984,0.2134999930858612,0.12133289128541946,0.08169999718666077,0.10580000281333923,0.14339999854564667,0.015975551679730415,0.44609999656677246,0.3108079433441162,0.23759999871253967,0.2946999967098236,0.33160001039505005,0.015177223831415176
train,parcel_1777662108262_dhxlg,intensif,Zaghouan__lat182_lng50,0.3723999857902527,0.05131573602557182,0.03539999946951866,0.04399999976158142,0.06030000001192093,0.010401804000139236,0.34504568576812744,0.016153937205672264,-0.1253635734319687,-0.03954073414206505,0.07587224245071411,0.048869140446186066,0.9595588445663452,0.7467560768127441,0.4032000005245209,0.07900462299585342,0.05979999899864197,0.07010000199079514,0.08959999680519104,0.012200855650007725,36992.0,0.19825631380081177,0.04980090260505676,-0.44302046298980713,-0.01507860142737627,0.11001446098089218,0.05350489914417267,144.67263793945312,0.6014935374259949,5.190011024475098,0.45977044105529785,0.555720865726471,0.6948176622390747,0.5207673907279968,-0.007209069561213255,0.43732067942619324,0.5868638753890991,0.07168690860271454,0.07094917446374893,-0.5679304599761963,-0.6678561568260193,-0.6146495938301086,-0.5069007873535156,0.05488749220967293,5.080704689025879,0.6801880598068237,1.0293198823928833,0.4763675630092621,0.7059640884399414,0.4221999943256378,0.28642386198043823,0.07100000232458115,0.26919999718666077,0.30410000681877136,0.015126614831387997,370.1021423339844,0.40799999237060547,0.09056936949491501,0.05779999867081642,0.0771000012755394,0.10719999670982361,0.017049893736839294,0.4537999927997589,0.25951072573661804,0.1404000073671341,0.2387000024318695,0.2824000120162964,0.019657302647829056
train,parcel_1777662148660_qey6r,intensif,Zaghouan__lat182_lng50,0.2198999971151352,0.05591326951980591,0.03629999980330467,0.04639999940991402,0.06759999692440033,0.011974111199378967,0.2371198534965515,0.061640989035367966,-0.05884207412600517,0.014087904244661331,0.11364796757698059,0.03977639228105545,0.9233842492103577,0.34291625022888184,0.3147999942302704,0.08602724224328995,0.05900000035762787,0.07440000027418137,0.10159999877214432,0.015419933944940567,14018.0,0.12834122776985168,0.003829964669421315,-0.21095119416713715,-0.05119164660573006,0.05471005290746689,0.04311392828822136,140.96592712402344,0.6430450081825256,5.69428825378418,0.41865459084510803,0.5079107880592346,0.6262295246124268,0.4618593454360962,0.07974559813737869,0.3681141138076782,0.5354925990104675,0.07235658913850784,-0.1674160361289978,-0.5279821753501892,-0.6483908891677856,-0.5802785754203796,-0.4597640633583069,0.055680543184280396,4.638863563537598,0.5875384211540222,1.0076024532318115,0.45051494240760803,0.6929288506507874,0.4413999915122986,0.2769349217414856,0.21289999783039093,0.26409998536109924,0.28940001130104065,0.012264137156307697,140.2419891357422,0.37619999051094055,0.10284718871116638,0.06780000030994415,0.08500000089406967,0.12710000574588776,0.02125507779419422,0.5205000042915344,0.27543190121650696,0.22990000247955322,0.2524000108242035,0.3027999997138977,0.022665925323963165
train,parcel_1777662294718_3mzv8,intensif,Kairouan__lat177_lng50,0.3100000023841858,0.08266826719045639,0.04179999977350235,0.05719999969005585,0.12309999763965607,0.027638951316475868,0.2683757245540619,0.04866577312350273,-0.19961895048618317,-0.05065285041928291,0.1675078570842743,0.08159752935171127,0.742971658706665,0.3453241288661957,0.36800000071525574,0.11767459660768509,0.06840000301599503,0.08399999886751175,0.16930000483989716,0.03473551571369171,18959.0,0.26599764823913574,0.011394667439162731,-0.26886293292045593,-0.11243279278278351,0.11986289173364639,0.09130950272083282,192.08270263671875,0.8061090111732483,6.0187907218933105,0.526305079460144,0.5916686058044434,0.699680507183075,0.4280162751674652,0.07391092926263809,0.2267557978630066,0.5750025510787964,0.12733370065689087,-0.14498139917850494,-0.4837488532066345,-0.6690511107444763,-0.5892529487609863,-0.34960293769836426,0.09264414012432098,15.390949249267578,0.6465893387794495,1.6727477312088013,0.5329634547233582,0.6840854287147522,0.5113999843597412,0.3309611678123474,0.24079999327659607,0.30239999294281006,0.3676399886608124,0.026697803288698196,189.62078857421875,0.40619999170303345,0.1374143362045288,0.06109999865293503,0.08869999647140503,0.2223999947309494,0.05009685084223747,0.51910001039505,0.3283666670322418,0.22310000658035278,0.2614000141620636,0.44690001010894775,0.06474064290523529
train,parcel_1777662316778_yiudt,intensif,Kairouan__lat177_lng50,0.5351999998092651,0.07797666639089584,0.05490000173449516,0.06530000269412994,0.09359999746084213,0.019719533622264862,0.2071693390607834,0.07387710362672806,-0.036097828298807144,0.023444311693310738,0.12077923864126205,0.03732549399137497,0.8836005926132202,0.10165546089410782,0.5648000240325928,0.10858370363712311,0.07989999651908875,0.09094999730587006,0.12985000014305115,0.024303587153553963,3866.0,0.09964066743850708,-0.022117624059319496,-0.18169473111629486,-0.07433107495307922,0.03149387985467911,0.04119229316711426,171.9847412109375,0.49826231598854065,6.103512287139893,0.4335135817527771,0.5164461731910706,0.56851726770401,0.4239635169506073,0.005374455358833075,0.3383150100708008,0.5004886388778687,0.06966764479875565,0.0031971591524779797,-0.4843001067638397,-0.5747737884521484,-0.5400196313858032,-0.42128419876098633,0.055518269538879395,13.346903800964355,0.40245574712753296,1.5802152156829834,0.4562566876411438,0.6485587358474731,0.5612000226974487,0.30892500281333923,0.2671000063419342,0.2919999957084656,0.32690000534057617,0.01777059957385063,38.67454147338867,0.5551999807357788,0.1268276572227478,0.08839999884366989,0.10180000215768814,0.15600000321865082,0.030736785382032394,0.4943999946117401,0.3238842785358429,0.2671000063419342,0.28780001401901245,0.36250001192092896,0.03177130967378616
train,parcel_1777662471199_933e1,intensif,Gafsa__lat173_lng44,0.22910000383853912,0.062278229743242264,0.03539999946951866,0.043800000101327896,0.096950002014637,0.0249936580657959,0.22791267931461334,0.030632123351097107,-0.11613430827856064,-0.030378922820091248,0.10273733735084534,0.053320832550525665,0.8670095801353455,0.3714180886745453,0.31439998745918274,0.0964384377002716,0.060499999672174454,0.07029999792575836,0.14300000667572021,0.034731168299913406,8166.0,0.1937524825334549,0.04621889069676399,-0.18149565160274506,-0.027187716215848923,0.10566887259483337,0.05463497340679169,350.0126647949219,0.5362064838409424,8.101693153381348,0.424541711807251,0.5076844096183777,0.6416530609130859,0.4559592604637146,0.1006479486823082,0.29779618978500366,0.5565630197525024,0.10105524212121964,-0.2368931919336319,-0.512359619140625,-0.6390381455421448,-0.5801978707313538,-0.40612462162971497,0.0690581351518631,49.46163558959961,0.5097305774688721,2.7184395790100098,0.43713170289993286,0.6501383781433105,0.5095999836921692,0.28982701897621155,0.2498999983072281,0.2612999975681305,0.33980000019073486,0.03660477325320244,81.67684173583984,0.4163999855518341,0.11399810761213303,0.05990000069141388,0.0754999965429306,0.18230000138282776,0.0520450621843338,0.5569999814033508,0.2678040564060211,0.19629999995231628,0.21549999713897705,0.3395000100135803,0.05989319458603859
train,parcel_1777662498867_hce6r,intensif,Gafsa__lat173_lng44,0.19740000367164612,0.05395861342549324,0.02630000002682209,0.036400001496076584,0.08980000019073486,0.02347511053085327,0.19458125531673431,-0.034503597766160965,-0.252028226852417,-0.12607453763484955,0.05109848454594612,0.07127812504768372,0.8955506086349487,0.7471224665641785,0.2863999903202057,0.0856727585196495,0.05220000073313713,0.06300000101327896,0.13339999318122864,0.0318295955657959,5821.0,0.3001755475997925,0.11233024299144745,-0.15809369087219238,0.02348337508738041,0.2034824639558792,0.07139641046524048,652.741943359375,0.2928680181503296,12.029227256774902,0.47216519713401794,0.5259023904800415,0.8273026347160339,0.5380616188049316,0.1111111044883728,0.34356075525283813,0.6586483716964722,0.1169394925236702,-0.25006556510925293,-0.5663393139839172,-0.7897704839706421,-0.6443941593170166,-0.4338066577911377,0.07985232025384903,41.161293029785156,0.23869921267032623,2.753622531890869,0.48826977610588074,0.65568608045578,0.4864000082015991,0.29974663257598877,0.2662000060081482,0.2777000069618225,0.3384000062942505,0.027923433110117912,58.29151916503906,0.37439998984336853,0.09509357064962387,0.041999999433755875,0.060100000351667404,0.16419999301433563,0.04680674895644188,0.5547000169754028,0.242788165807724,0.17100000381469727,0.1932000070810318,0.30070000886917114,0.05277223885059357
train,parcel_1777662509830_ph4tb,intensif,Gafsa__lat173_lng44,0.19689999520778656,0.07274075597524643,0.03739999979734421,0.046799998730421066,0.1340000033378601,0.03461403027176857,0.2119501233100891,0.018804173916578293,-0.13535214960575104,-0.07918263971805573,0.13067618012428284,0.07891710847616196,0.7669345736503601,0.49712973833084106,0.2766999900341034,0.11210263520479202,0.06759999692440033,0.07660000026226044,0.19760000705718994,0.04732990637421608,871.0,0.22513090074062347,0.06447261571884155,-0.16736136376857758,-0.05863232538104057,0.16768713295459747,0.08506878465414047,350.08160400390625,0.1267791986465454,5.8460540771484375,0.8123840093612671,0.8238485455513,0.6599673628807068,0.44596412777900696,0.10831985622644424,0.20546302199363708,0.571694552898407,0.13395535945892334,-0.2552577257156372,-0.5044126510620117,-0.6408076882362366,-0.5911062955856323,-0.3359019160270691,0.09313904494047165,35.58091735839844,0.1098121851682663,1.7263776063919067,0.8160645365715027,0.8544955253601074,0.4702000021934509,0.32435673475265503,0.2786000072956085,0.29280000925064087,0.39719998836517334,0.04174956679344177,8.743101119995117,0.36719998717308044,0.13421125710010529,0.06260000169277191,0.08070000261068344,0.2587999999523163,0.07064992934465408,0.5623999834060669,0.29226773977279663,0.1889999955892563,0.21199999749660492,0.41760000586509705,0.07889062911272049
train,parcel_1777662532453_yoau8,intensif,Gafsa__lat173_lng44,0.18799999356269836,0.06008752062916756,0.032099999487400055,0.0484900027513504,0.07440000027418137,0.01806003227829933,0.2136954367160797,0.03158298879861832,-0.20697243511676788,-0.018822956830263138,0.09081285446882248,0.04942847415804863,0.9245070219039917,0.21014083921909332,0.2720000147819519,0.09438425302505493,0.05559999868273735,0.07850000262260437,0.11379999667406082,0.02487732097506523,3550.0,0.28115084767341614,0.04769709333777428,-0.1708367019891739,-0.011982507072389126,0.10132335126399994,0.05372772738337517,222.00009155273438,0.3095839023590088,5.880392074584961,0.551264226436615,0.6115000247955322,0.7306122183799744,0.45307162404060364,0.10983764380216599,0.37543797492980957,0.5223367810249329,0.07599093019962311,-0.24544180929660797,-0.5111145973205566,-0.6844494938850403,-0.554012656211853,-0.45793625712394714,0.05131825432181358,29.275314331054688,0.20137976109981537,1.9055373668670654,0.5694651007652283,0.7097828984260559,0.46480000019073486,0.2870597243309021,0.2531000077724457,0.2696000039577484,0.30840998888015747,0.025136251002550125,35.547264099121094,0.37279999256134033,0.11096560955047607,0.04619999974966049,0.08579999953508377,0.13922999799251556,0.03718075901269913,0.5059000253677368,0.2635498642921448,0.16990000009536743,0.22439999878406525,0.31905001401901245,0.04717063158750534
train,parcel_1777662559509_oh30t,intensif,Gafsa__lat173_lng44,0.219200000166893,0.07401534169912338,0.04410000145435333,0.05490000173449516,0.11407999694347382,0.028715748339891434,0.21298106014728546,0.07631082087755203,-0.055944059044122696,0.027882982045412064,0.1388864666223526,0.04230080917477608,0.8181145787239075,0.03179297596216202,0.32120001316070557,0.11316654831171036,0.07320000231266022,0.08714000135660172,0.16685999929904938,0.03960154578089714,2705.0,0.13981041312217712,-0.0018646656535565853,-0.17441226541996002,-0.06919276714324951,0.05061522126197815,0.04779839143157005,237.3524932861328,0.42699411511421204,6.272247791290283,0.5807301998138428,0.6309434175491333,0.5733834505081177,0.39012831449508667,0.08130760490894318,0.2453419268131256,0.4728308618068695,0.0883093848824501,-0.2326803207397461,-0.4644148051738739,-0.5945220589637756,-0.5213931798934937,-0.36531347036361694,0.06228328123688698,61.74605178833008,0.3676881790161133,2.8397700786590576,0.5898212194442749,0.7032171487808228,0.515999972820282,0.3004283607006073,0.2524999976158142,0.2727999985218048,0.3612000048160553,0.042279113084077835,27.0554256439209,0.438400000333786,0.13784661889076233,0.0786999985575676,0.09910000115633011,0.21925999224185944,0.05821298062801361,0.5741999745368958,0.3042457401752472,0.21780000627040863,0.25119999051094055,0.4007999897003174,0.060956113040447235
